,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,
0,"443,580","461,019","469,898","476,294","478,594","469,784","464,387","454,918","452,248","429,622","437,322","412,356","384,373","357,083","343,751","329,517","314,175","319,654","345,100","357,525","356,253","347,816","348,286","347,944","361,759","364,466","369,801","380,086","376,073","378,369","387,121","382,842","369,248","367,833","356,589","349,698","357,310","347,609","343,268","332,621","324,219","323,174","330,666","342,853","349,507","358,637","369,069","384,803","382,093","386,673","390,827","397,837","385,946","379,305","378,230","380,820",,,,,
1,"422,351","442,351","459,601","468,223","475,632","476,334","468,769","466,491","453,996","449,606","425,706","435,250","409,400","382,231","355,132","342,195","327,506","313,420","318,705","343,841","356,557","353,641","346,591","348,269","347,384","362,147","363,785","368,494","379,596","375,325","377,580","386,112","381,687","368,161","367,245","355,657","349,698","356,606","347,991","342,236","330,909","325,659","323,410","330,154","343,394","349,653","360,360","369,909","384,984","381,637","385,277","393,627","400,531","389,528","383,105","382,188",,,,,
2,"415,250","422,251","441,887","458,825","466,963","473,494","475,364","469,755","466,434","452,049","445,504","424,248","433,924","407,374","380,427","353,987","340,238","327,109","312,895","317,847","342,973","355,831","352,990","346,742","348,107","347,527","362,284","363,800","368,853","379,461","375,712","377,531","385,857","381,464","368,337","366,616","355,145","350,257","357,035","347,883","340,590","332,885","326,926","323,443","331,281","343,541","350,205","362,111","370,839","385,016","382,279","387,710","396,066","403,832","393,156","386,860",,,,,
3,"406,944","415,623","421,900","441,393","457,450","465,015","472,706","476,396","469,592","464,838","447,954","443,699","423,342","432,281","405,141","379,054","351,947","339,692","326,649","311,772","316,723","342,177","355,282","353,418","347,550","349,361","348,732","363,208","365,241","370,057","380,941","375,967","377,770","385,987","381,288","368,363","366,026","354,921","351,429","356,990","347,071","342,856","334,329","327,954","324,614","331,802","344,051","350,565","363,802","371,444","385,930","384,339","389,601","398,979","406,959","396,501",,,,,
4,"391,490","406,960","415,349","421,495","440,176","455,580","464,394","473,817","476,395","468,091","460,275","446,122","442,592","422,320","430,259","403,659","377,512","351,347","339,222","326,153","310,686","315,796","341,829","355,584","354,326","349,453","349,872","348,955","363,703","365,840","371,021","380,610","375,699","378,116","386,114","381,302","368,293","365,466","355,258","352,338","356,106","349,327","344,731","335,655","329,970","325,333","332,490","344,260","350,793","365,104","372,956","387,600","386,070","392,256","401,913","410,067",,,,,
5,"378,722","391,692","406,812","414,471","420,042","438,451","454,655","464,098","471,736","471,929","456,001","458,855","444,529","441,053","421,207","428,930","402,185","376,774","350,621","338,586","325,448","310,027","315,487","342,107","356,615","355,668","349,878","349,962","349,259","364,079","366,481","370,790","380,364","375,572","377,967","386,044","380,846","368,166","364,964","354,228","352,946","357,826","351,357","346,900","336,661","330,887","326,348","332,923","344,721","351,633","366,267","374,435","389,268","388,465","394,805","404,600",,,,,
6,"369,750","378,854","391,267","405,832","413,109","418,822","437,464","454,703","463,274","469,527","465,280","455,484","458,009","442,819","439,632","420,506","428,043","401,230","376,087","350,535","338,133","324,679","309,670","315,792","342,846","357,694","356,125","350,049","350,817","350,073","364,926","366,665","371,088","380,536","376,092","378,603","386,064","381,046","369,005","364,217","354,436","354,366","359,997","353,194","348,117","337,789","332,725","327,022","333,589","345,341","351,340","367,473","375,864","391,339","390,552","396,926",,,,,
7,"374,944","370,065","378,439","390,442","404,681","411,646","417,919","437,656","453,558","461,267","463,220","465,275","455,377","456,351","441,477","438,539","420,248","427,812","400,458","375,908","350,005","337,526","324,549","310,058","316,579","343,678","358,391","356,474","350,511","351,170","350,801","365,097","366,524","371,397","380,615","376,163","378,634","385,997","381,209","368,486","363,989","355,834","356,571","362,204","354,326","349,443","339,895","334,381","327,973","334,476","344,955","352,763","368,856","377,734","393,340","392,573",,,,,
8,"370,814","375,398","369,763","377,623","389,338","403,125","410,707","417,973","436,744","451,956","451,889","463,129","465,621","454,623","454,560","440,273","437,986","420,570","427,192","400,032","375,285","349,356","337,418","324,944","310,916","317,390","344,169","358,611","357,422","351,157","351,857","351,130","365,393","366,708","371,707","380,641","376,152","378,899","386,498","380,693","368,838","365,769","357,896","358,605","363,420","355,536","351,746","341,686","336,114","329,035","334,365","346,254","354,135","370,587","379,516","395,203",,,,,
9,"368,360","371,279","375,081","368,964","376,629","387,729","402,295","411,149","417,111","435,378","446,580","451,867","463,644","464,910","453,450","452,960","439,984","437,575","420,548","427,101","399,622","374,725","349,147","337,836","325,695","311,873","317,935","344,451","358,871","357,774","351,956","352,042","351,571","365,973","366,808","372,134","380,682","376,411","379,824","386,397","381,163","370,161","367,883","359,758","359,794","364,796","357,534","353,652","343,604","337,975","329,167","335,858","347,682","355,806","372,299","381,276",,,,,
10,"375,900","367,988","371,017","375,088","369,594","375,488","387,585","402,346","409,099","415,636","436,662","446,964","452,545","463,599","464,552","453,307","452,331","439,736","436,928","420,998","426,624","398,884","374,343","349,360","338,725","326,283","312,175","318,054","344,831","359,759","358,430","351,574","351,867","352,024","366,336","366,877","372,111","380,572","376,787","379,373","385,964","383,025","371,507","368,643","360,930","361,708","367,321","359,014","354,968","345,544","339,048","330,653","337,332","349,445","357,559","374,109",,,,,
11,"390,045","375,587","368,808","371,034","375,067","367,995","374,050","387,325","401,106","409,073","420,563","437,443","447,579","452,759","463,794","465,092","453,835","451,739","439,462","436,799","421,073","425,584","398,510","374,599","350,471","340,073","327,149","312,771","318,996","345,660","360,724","359,150","352,099","352,300","352,721","367,083","367,152","372,617","381,388","376,573","379,738","387,747","384,475","371,971","370,152","362,857","363,938","368,975","360,323","357,131","346,840","340,714","332,241","339,212","351,456","359,526",,,,,
12,"405,894","389,914","376,430","368,800","370,987","373,755","366,977","373,894","386,417","401,394","410,345","420,997","438,499","447,841","453,181","463,917","465,577","455,124","451,632","439,771","436,471","420,295","424,724","398,450","375,189","351,147","340,435","327,501","313,261","319,504","346,334","360,819","359,479","352,357","352,456","353,241","367,350","367,204","373,255","380,982","376,352","380,014","389,011","384,708","372,913","372,180","365,003","365,394","370,403","362,207","358,569","348,500","342,374","334,243","341,255","353,532",,,,,
13,"440,825","406,334","390,812","376,329","368,941","369,959","372,719","367,245","373,400","386,835","399,776","410,483","421,711","438,866","448,295","453,371","464,451","466,708","456,066","451,732","439,350","435,946","419,722","424,366","399,198","375,887","351,776","340,947","328,027","314,055","320,372","346,784","361,184","359,929","352,898","353,044","353,734","368,043","368,176","373,416","381,282","376,622","380,497","389,082","385,416","374,397","374,467","366,570","366,740","372,491","363,614","360,096","349,981","344,294","336,249","343,277",,,,,
14,"469,854","442,036","407,023","390,540","376,485","368,101","369,206","373,281","366,863","374,338","389,697","400,411","411,205","422,129","439,010","448,578","453,998","465,345","467,893","457,112","451,403","439,134","435,817","419,377","424,585","400,020","376,340","352,133","341,334","329,025","314,830","320,776","347,055","361,514","360,239","353,151","352,936","354,107","368,708","367,772","373,396","381,585","377,462","379,322","389,462","386,873","376,287","376,094","367,828","368,613","374,099","365,070","361,600","351,808","346,190","337,999",,,,,
15,"384,043","471,563","442,151","406,568","390,816","377,197","368,654","373,338","374,822","371,376","381,591","390,285","402,084","412,559","422,634","439,908","449,450","454,957","466,842","469,164","457,417","451,466","439,397","436,062","420,001","425,147","400,346","376,705","352,822","342,351","329,900","315,493","321,424","347,721","362,395","360,894","353,780","353,176","354,562","367,725","368,665","373,354","383,369","378,626","380,700","390,932","389,472","379,195","379,429","370,188","371,544","375,419","366,341","363,519","353,812","348,297",,,,,
16,"379,673","382,141","472,681","436,518","401,262","389,154","377,528","367,617","373,976","379,135","371,055","381,974","391,124","403,157","412,948","423,604","440,917","450,634","456,534","468,039","469,577","457,869","452,034","440,204","436,915","420,803","425,372","400,694","377,524","353,704","343,608","330,247","315,937","321,973","348,397","362,689","361,379","354,090","353,452","354,234","369,740","368,533","375,825","385,444","381,087","381,587","393,877","392,912","382,917","382,358","373,732","372,553","376,537","368,357","365,519","356,064",,,,,
17,"379,026","377,359","378,834","473,803","430,303","405,652","390,653","378,918","367,236","376,426","380,579","371,345","382,588","391,965","404,051","413,884","424,708","442,607","451,856","458,174","468,233","472,349","461,352","453,585","442,225","438,571","422,184","426,330","402,494","379,222","355,981","343,827","330,475","316,444","322,489","348,673","363,145","361,624","354,535","352,414","356,551","369,777","371,100","378,266","388,741","382,358","384,609","398,166","398,756","385,853","387,003","375,073","373,850","378,976","371,239","368,440",,,,,
18,"369,344","379,516","376,151","377,687","474,804","437,047","408,116","393,233","382,937","370,593","378,238","381,048","372,196","383,159","393,060","405,542","415,012","426,277","443,935","453,738","459,506","469,821","474,391","461,766","454,857","443,477","439,553","422,170","426,536","402,577","380,345","355,955","343,876","330,595","315,918","321,084","346,538","359,950","358,817","348,100","350,912","357,864","373,496","375,355","384,836","391,615","387,987","391,053","406,974","404,058","393,550","389,996","377,565","377,544","383,393","375,458",,,,,
19,"338,950","369,272","379,840","375,058","377,270","476,449","439,560","412,187","397,510","385,514","375,364","378,729","382,437","372,992","384,484","394,742","406,966","417,101","428,128","446,073","455,948","464,511","475,635","474,624","463,627","456,551","445,008","440,175","423,122","427,092","404,702","383,467","360,334","349,356","337,560","322,890","327,446","351,381","364,809","360,479","352,705","355,502","364,808","382,325","387,379","390,467","402,175","400,077","402,141","415,255","415,610","399,774","395,608","384,616","385,641","391,104",,,,,
20,"322,927","339,450","368,052","379,480","375,118","380,908","476,338","439,787","411,951","396,897","385,769","375,772","379,651","382,439","373,982","385,764","396,134","408,918","418,430","430,260","447,937","457,884","468,053","476,050","476,548","465,934","458,249","445,909","441,348","424,102","429,090","406,677","383,755","360,171","348,904","337,058","323,954","330,342","351,207","367,254","369,242","359,519","361,802","370,804","391,224","396,432","398,243","410,091","403,011","408,654","423,891","420,663","404,805","402,988","393,000","393,674",,,,,
