,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"12,047","12,707","12,408","11,989","11,325","11,105","10,254","10,319","9,894","9,713","9,366","8,393","7,781","7,180","6,392","5,706","5,350","5,220","5,447","5,174","4,759","4,555","4,230","3,995","4,003","4,219","4,105","4,110","3,799","3,614","3,377","2,954","2,757","2,644","2,575","2,575","2,414","2,315","2,323","2,136","2,052","2,050","2,047","2,033","2,117","2,078","2,113","2,123","2,067","1,915","2,049","1,912","1,741","1,646","1,752","1,654",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,785,727,788,684,671,726,649,644,644,590,531,556,523,495,402,388,314,338,265,319,310,335,268,312,281,255,264,281,275,273,267,218,223,207,177,192,191,190,190,156,143,160,133,150,143,146,154,144,127,129,143,134,135,142,119,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,484,423,437,406,407,471,435,439,453,394,374,357,365,311,273,243,235,194,188,194,194,177,171,165,186,158,171,168,182,175,152,135,158,125,115,120,115,120,118,102,91,97,87,79,90,85,104,70,73,77,81,74,74,72,67,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,305,300,324,289,354,350,340,381,311,314,279,310,297,299,255,217,181,182,149,131,137,143,137,155,147,139,116,135,140,126,132,105,108,88,100,85,81,84,84,69,62,58,77,70,66,53,70,60,42,61,46,42,45,56,53,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,261,258,297,262,280,305,266,289,305,258,255,237,255,202,209,188,188,152,146,148,130,105,119,93,114,101,106,96,102,100,85,101,91,85,62,87,78,71,67,63,62,67,59,46,40,44,51,45,34,39,40,46,44,30,49,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,218,217,235,247,255,258,251,259,265,218,248,226,236,214,195,193,167,156,134,129,106,89,100,94,95,95,92,88,99,89,90,85,69,54,70,66,66,62,55,48,49,48,52,36,40,43,40,50,41,38,44,44,36,39,31,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,209,202,223,196,230,203,212,230,204,241,220,234,224,189,166,170,173,152,143,113,116,90,97,87,72,76,88,84,78,90,77,71,66,67,68,52,60,58,53,66,51,43,53,42,52,36,39,42,37,39,36,36,29,46,36,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,193,187,205,187,202,164,185,196,214,208,209,209,180,179,169,157,131,141,137,128,97,86,94,79,93,90,64,91,96,59,77,74,58,63,56,40,50,71,54,49,51,43,39,38,32,34,34,38,26,26,30,27,43,34,39,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,161,148,182,163,183,193,192,153,167,149,192,188,173,140,153,136,143,125,153,123,99,99,85,84,67,67,74,96,72,72,75,58,66,73,63,47,70,54,49,47,44,37,39,47,34,46,46,43,37,38,34,39,28,26,29,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,177,151,175,161,170,169,165,192,148,162,186,167,165,136,146,142,130,152,141,116,99,92,93,79,66,56,59,74,69,66,76,58,64,58,66,63,55,52,49,53,35,53,45,43,36,54,41,38,29,40,37,31,28,39,31,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
