,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,,
0,"468,233","485,002","491,197","497,683","499,929","491,142","487,387","471,736","470,549","453,402","461,352","433,808","408,749","378,049","363,122","347,803","331,765","336,156","364,591","376,584","373,620","365,294","366,340","364,810","379,543","383,733","386,987","398,127","393,224","395,045","402,599","402,275","387,743","387,383","375,130","369,091","375,956","364,935","361,223","349,764","338,443","338,612","349,242","361,598","366,823","375,398","388,357","403,425","400,635","405,116","410,357","418,013","406,611","398,946","398,539","401,630",,,,,,,
1,"446,730","466,651","481,592","487,782","496,399","499,480","488,330","487,025","468,901","467,137","449,644","457,862","432,329","405,899","375,468","360,858","345,896","330,550","334,612","362,538","374,745","370,934","364,032","365,911","364,079","379,648","382,576","385,243","397,515","391,956","393,976","401,584","400,650","386,349","386,298","374,390","369,029","374,946","365,074","359,406","348,546","339,142","339,228","349,251","361,360","366,438","377,279","388,735","402,982","399,991","403,135","413,081","420,824","410,093","403,020","402,554",,,,,,,
2,"437,929","446,702","466,156","479,198","486,305","496,569","498,086","487,223","485,711","466,038","468,358","448,140","456,388","430,256","404,009","373,988","359,200","345,017","330,070","334,159","362,229","373,916","370,269","364,095","365,750","364,224","379,659","382,362","385,419","397,335","392,047","393,973","401,537","400,237","386,458","385,618","373,881","369,646","374,945","364,241","358,313","349,620","340,923","340,209","349,512","360,842","367,544","378,672","389,101","403,642","399,930","405,554","415,772","423,978","413,548","406,751",,,,,,,
3,"428,628","438,932","446,962","465,528","478,420","485,554","495,398","497,425","486,125","483,375","471,609","466,583","446,961","454,877","428,232","402,647","372,263","358,487","344,604","329,271","333,699","361,219","373,261","370,452","364,844","367,024","365,319","380,442","383,623","386,449","398,715","392,315","394,236","401,924","400,153","386,774","385,021","373,854","370,542","374,494","363,915","359,517","351,493","342,852","340,974","349,520","361,635","367,839","379,862","390,186","404,523","402,100","407,847","418,718","427,117","416,855",,,,,,,
4,"412,415","429,865","439,588","446,744","464,020","477,932","485,421","494,957","496,162","483,588","484,860","469,813","465,135","445,920","454,228","426,928","401,037","371,767","358,054","343,842","328,844","332,932","360,644","373,478","371,271","366,688","367,309","365,349","380,823","383,927","387,158","398,251","392,044","394,705","402,530","400,261","386,591","384,250","373,984","371,197","374,050","365,411","361,705","353,634","344,490","341,460","350,519","361,672","367,844","381,727","391,667","406,458","404,355","410,635","421,505","430,088",,,,,,,
5,"399,004","415,013","430,296","439,344","445,234","463,135","475,194","482,857","491,629","490,842","478,746","484,542","468,332","463,079","444,475","453,279","425,212","399,799","371,196","357,281","343,368","328,018","332,500","360,902","374,414","372,526","367,012","367,218","365,630","381,020","384,327","387,053","398,474","392,488","395,135","403,413","400,270","386,999","384,347","373,875","371,490","376,220","367,460","363,720","354,666","345,562","342,389","350,730","361,958","368,029","383,111","393,453","408,315","406,859","413,235","424,001",,,,,,,
6,"388,681","401,776","416,449","430,020","438,303","443,535","460,794","473,604","481,223","488,908","490,694","477,516","483,324","466,507","461,981","444,165","452,295","424,313","399,238","369,932","356,562","342,711","327,657","332,683","361,730","375,458","372,928","367,139","367,989","366,352","381,807","384,087","387,081","398,596","393,056","396,197","403,778","400,250","387,461","383,358","373,501","373,778","378,186","369,284","364,829","355,881","347,280","343,136","351,168","361,997","368,248","384,621","395,136","410,298","408,987","415,558",,,,,,,
7,"393,324","390,629","403,662","416,843","429,004","436,263","441,705","460,394","472,675","478,449","489,406","490,776","477,097","481,860","465,085","461,055","443,842","451,765","423,947","398,392","369,309","355,707","342,420","327,861","333,414","362,438","375,906","373,095","367,390","368,210","366,999","382,084","383,843","387,494","398,904","393,602","396,543","404,082","400,160","387,225","381,828","375,173","376,160","380,150","370,502","366,204","357,756","348,889","344,138","351,438","361,924","369,750","386,174","397,092","412,479","411,238",,,,,,,
8,"388,874","396,844","391,182","404,397","416,710","427,194","434,708","441,725","460,098","470,197","475,693","489,785","491,633","476,722","480,411","463,947","460,375","443,708","451,701","422,928","397,693","368,559","355,371","342,657","328,655","334,246","362,809","375,911","373,813","367,900","368,827","367,317","382,686","384,019","388,073","399,274","393,754","397,193","405,028","399,688","386,942","383,924","376,855","378,493","381,145","371,826","368,250","359,513","350,763","344,917","351,669","363,335","371,285","388,047","399,245","414,564",,,,,,,
9,"386,032","390,756","398,830","391,516","404,292","413,499","426,071","435,116","442,045","458,348","466,476","475,906","490,590","491,227","476,790","479,325","463,169","459,870","444,015","451,375","422,008","396,705","368,224","355,718","343,317","329,591","334,632","363,033","376,013","373,991","368,616","368,312","367,561","383,364","384,045","388,619","399,243","394,031","397,882","405,420","399,291","387,938","385,890","378,427","380,136","382,504","373,679","370,022","361,416","352,334","345,654","353,113","364,734","373,033","389,988","401,517",,,,,,,
10,"395,186","385,900","392,916","400,875","391,948","402,021","412,198","426,408","435,042","441,118","458,944","467,101","476,562","491,152","492,038","477,145","478,630","462,845","459,701","444,445","449,294","420,955","396,372","368,273","356,408","343,833","329,729","334,544","363,248","376,665","374,440","367,908","367,575","368,306","384,446","384,380","388,935","399,455","394,662","398,470","405,923","400,180","389,623","387,764","380,463","381,836","384,658","375,160","372,363","363,471","354,100","347,226","354,532","366,432","375,072","392,321",,,,,,,
11,"409,423","396,479","385,506","392,839","400,493","389,882","400,536","413,299","426,846","435,401","443,770","458,689","467,933","477,188","491,631","492,260","477,851","478,239","463,019","459,252","444,438","447,206","420,344","396,298","369,143","357,545","344,467","330,039","335,267","363,853","377,423","374,549","367,978","367,801","369,160","385,696","384,743","389,669","400,346","395,023","399,318","406,995","401,181","390,593","390,199","381,632","384,181","386,220","377,429","374,568","365,394","355,747","348,749","356,307","368,574","377,345",,,,,,,
12,"427,147","409,373","397,523","383,806","392,096","397,274","388,503","401,870","414,483","427,119","433,399","443,788","459,193","468,475","477,940","491,895","493,151","478,909","478,092","462,718","459,280","442,858","445,406","420,102","396,688","369,605","357,615","344,587","330,331","335,629","364,362","377,014","374,347","367,808","367,813","370,043","386,347","384,983","390,342","400,521","395,515","399,364","407,892","401,092","391,743","391,487","383,295","386,033","388,503","379,513","376,524","366,797","357,270","350,585","358,439","370,934",,,,,,,
13,"460,879","427,653","408,734","396,627","382,479","390,266","396,716","389,527","403,479","415,395","424,270","433,069","444,345","459,461","468,505","478,471","492,527","494,414","480,231","477,923","462,889","457,672","441,410","444,037","420,517","397,287","369,969","357,786","344,903","330,896","336,326","364,222","376,873","374,490","367,832","367,856","370,731","387,543","385,473","390,985","400,912","394,660","399,704","407,911","401,357","392,176","393,545","384,641","388,725","390,716","381,599","378,160","368,245","359,217","352,759","360,714",,,,,,,
14,"491,891","462,226","426,943","406,561","395,894","382,959","389,742","398,549","390,941","404,719","414,645","424,498","433,059","444,614","459,620","469,205","479,359","493,329","495,786","481,491","478,901","461,393","456,404","440,326","443,286","421,073","397,441","370,031","357,836","345,668","331,472","336,008","364,030","377,055","374,697","368,156","367,760","371,317","388,480","385,763","391,655","398,809","394,126","398,982","408,281","400,784","393,062","395,096","386,595","391,220","392,835","383,383","379,818","370,451","361,698","355,305",,,,,,,
